Name,Endangerment,Speakers,Latitude,Longitude,CountriesCount,Countries
Patamona (Brazil),Vulnerable,87,4.5216,-60.3808,1,Brazil
Xiri,Critically endangered,87,-31.3924,21.0498,1,South Africa
Narau,Severely endangered,85,-3.3818,139.8202,1,Indonesia
Ak,Severely endangered,83,-3.6093,141.6604,1,Papua New Guinea
Araona,Severely endangered,81,-12.4473,-68.1372,1,Bolivia (Plurinational State of)
Ari,Severely endangered,80,-8,142.4,1,Papua New Guinea
Assiniboine (Canada),Critically endangered,80,50.3536,-103.4841,1,Canada
Dorro,Severely endangered,80,-9.1834,141.8994,1,Papua New Guinea
Gong,Severely endangered,80,15.088,99.523,1,Thailand
Itik,Vulnerable,80,-2.3181,139.148,1,Indonesia
Mari,Severely endangered,80,-9.0478,141.8994,1,Papua New Guinea
Pwapwa,Severely endangered,80,-20.8074,164.5367,1,New Caledonia (France)
Somm,Definitely endangered,80,-6.1296,146.4642,1,Papua New Guinea
Tobati,Severely endangered,80,-2.6059,140.7997,1,Indonesia
Moré,Critically endangered,76,-12.0822,-64.9731,1,Bolivia (Plurinational State of)
Mores,Severely endangered,75,-15.3583,166.8988,1,Vanuatu
Musan,Severely endangered,75,-4.0355,141.361,1,Papua New Guinea
Papi,Severely endangered,75,-4.5,142,1,Papua New Guinea
Sarcee,Critically endangered,75,50.9682,-114.3851,1,Canada
Sekani,Critically endangered,75,58.0952,-122.7067,1,Canada
Arawun,Severely endangered,73,-5.5093,145.8929,1,Papua New Guinea
Siriano (Brazil),Vulnerable,71,0.5244,-67.5,1,Brazil
Teko,Severely endangered,71,15.6582,-92.1427,1,Mexico
Anus,Severely endangered,70,-2.1268,139.5126,1,Indonesia
Awera,Vulnerable,70,-2.7084,136.0395,1,Indonesia
Doutai,Severely endangered,70,-3.2282,138.2189,1,Indonesia
East Cape Yupik,Critically endangered,70,66.0166,-169.7166,1,Russian Federation
Iresim,Severely endangered,70,-3.6011,135.1428,1,Indonesia
Mafea,Definitely endangered,70,-15.4219,167.2366,1,Vanuatu
Vilamovian,Severely endangered,70,49.7909,18.762,1,Poland
Yankunytjatjara,Definitely endangered,70,-27.3132,132.0666,1,Australia
Yanyuwa,Severely endangered,70,-15.9613,136.3842,1,Australia
Yapunda,Severely endangered,69,-3.5,142.4,1,Papua New Guinea
Bothar,Severely endangered,68,-9.0695,141.155,1,Papua New Guinea
Kari'ña (Brazil),Definitely endangered,66,4.0067,-51.6027,1,Brazil
Ritharrngu,Definitely endangered,66,-13.1543,134.8242,1,Australia
Northern Straits Salish,Critically endangered,65,48.488,-122.6363,1,United States of America
Sumariup,Severely endangered,65,-4.7,143.3,1,Papua New Guinea
Orok,Critically endangered,64,52.3437,143.0557,1,Russian Federation
Carapana (Brazil),Severely endangered,63,-3.0966,-65.061,1,Brazil
Yan-nhangu,Definitely endangered,61,-12.094,134.89,1,Australia
Atemble,Definitely endangered,60,-5.1292,144.7421,1,Papua New Guinea
Bagupi,Definitely endangered,60,-5.0454,145.5822,1,Papua New Guinea
Carapana (Colombia),Definitely endangered,60,0.9337,-70.8178,1,Colombia
Gooniyandi,Severely endangered,60,-18.8335,125.9912,1,Australia
Gurrgoni,Vulnerable,60,-12.1037,134.3408,1,Australia
Kija,Severely endangered,60,-18.0832,128.1884,1,Australia
Montana Salish,Critically endangered,60,47.5944,-114.1182,1,United States of America
Ngangikurunggurr,Severely endangered,60,-14.6792,130.3967,1,Australia
Senaya,Critically endangered,60,36.2664,50.0042,1,Iran (Islamic Republic of)
